ID_SUBVENTION;NOM_BENEFICIAIRE;DESCRIPTION_SUBVENTION;ADRESSE_BENEFICIAIRE;PROGRAMME_PJL_FINANCE;MONTANT_SUBVENTION;PRENOM_NOM_DEPUTE_NOSDEPUTES;ID_DEPUTE_AN;ID_NOSDEPUTES;NOM_DEPUTE_NOSDEPUTES;PRENOM_DEPUTE_NOSDEPUTES;SEXE_DEPUTE;DATE_NAISSANCE_DEPUTE;LIEU_NAISSANCE_DEPUTE;ID_DEPARTEMENT;DEPARTEMENT_NOSDEPUTES;NUMERO_CIRCONSCRIPTION;DATE_DEBUT_MANDAT;DATE_FIN_MANDAT;MANDAT_CLOS;GROUPE_SIGLE;PARTI_RATTACHEMENT_FINANCIER;PROFESSION;PLACE_HEMICYCLE;URL_DEPUTE_AN;SLUG_NOSDEPUTES;URL_DEPUTE_NOSDEPUTES;API_NOSDEPUTES;NB_MANDATS
4261;Commune de GOHORY ;Travaux d'aménagement du cimetière;;122-01;5000;;331582;;;;;;;;;;;;;;;;;;;;;
4262;Commune de GOMETZ-LA-VILLE;Travaux de renforcement de canalisation et renouvellement d'un poteau incendie à la Ferme du Taillis Bourdries;;122-01;10000;;267628;;;;;;;;;;;;;;;;;;;;;
4263;Commune de GOMMEGNIES;Trottroirs  entre l'école et le carrefour d'Hitonsart (D 87);46 Cache Jean Reine 59144 GOMMEGNIES;122-01;20000;;394;;;;;;;;;;;;;;;;;;;;;
4264;Commune de Gonesse;Travaux de chauffage, électricité et dallage de l'église St Pierre St Paul;66 rue de Paris 95500 Gonesse;122-01;45000;;536;;;;;;;;;;;;;;;;;;;;;
4265;Commune de GONFARON;Aménagements intérieurs de la nouvelle salle de restaurant scolaire;;122-01;10000;;951;;;;;;;;;;;;;;;;;;;;;
4266;Commune de GONNEVILLE SUR MER;Restauration de l'église;;122-01;3000;;259;;;;;;;;;;;;;;;;;;;;;
4267;Commune de Gontaud de Nogaret;Projet de valorisation paysagère et architecturale;Mairie - Le Bourg - 47400 GONTAUD DE NOGARET;122-01;5000;;607287;;;;;;;;;;;;;;;;;;;;;
4269;Commune de GORREVOD;Réaménagement des espaces publics devant la mairie et ses annexes;;122-01;15000;;330008;;;;;;;;;;;;;;;;;;;;;
4271;Commune de GOUAIX;Rénovation de l'éclairage public - 2ème tranche : Remplacement des points lumineux de l'avenue de la gare;;122-01;10000;;1695;;;;;;;;;;;;;;;;;;;;;
4272;Commune de GOUESNOU;Construction d'un bâtiment à vocation d'accueil de loisirs sans hébergement et garderie périscolaire;BP 6,  place des fusillés, 29850 GOUESNOU;122-01;35000;;267695;;;;;;;;;;;;;;;;;;;;;
4273;Commune de GOUHENANS;Restauration d'une fontaine communale;M. PLAISANCE C - Maire 7, rue de la Mairie 70110 GOUHENANS;122-01;4000;;334951;;;;;;;;;;;;;;;;;;;;;
4274;Commune de GOULET;Projet de la CDC d'Ecouché pour construction d'une école afin de regrouper les communes de Goulet et Montgaroult ;Le Bourg - 61150 GOULET ;122-01;10000;;608038;;;;;;;;;;;;;;;;;;;;;
4275;Commune de GOULT;Création d'un relais vélos à l'ancienne gare de Lumières;;122-01;4000;;609726;;;;;;;;;;;;;;;;;;;;;
4276;Commune de GOURAINCOURT;Réfection toiture de la Mairie;;122-01;3592;;1199;;;;;;;;;;;;;;;;;;;;;
4277;Commune de Gourdon;Aménagement du cimetière;;122-01;5000;;2799;;;;;;;;;;;;;;;;;;;;;
4278;Commune de Gourdon-Murat;Réalisation d'une défense incendie dans le bourg ;Gourdon-Murat;122-01;2500;;605758;;;;;;;;;;;;;;;;;;;;;
4279;Commune de GOURFALEUR;Construction d'une réserve incendie;;122-01;2500;;266797;;;;;;;;;;;;;;;;;;;;;
4280;Commune de Goussainville;Création des locaux du service des  - sports et de la vie associative;Place de la Charmeuse 95190 Goussainville;122-01;30000;;536;;;;;;;;;;;;;;;;;;;;;
4281;Commune de GOUSSAINVILLE;Amélioration de la sécurité routière sur les deux voies départementales en traversée de la commune;;122-01;8000;;606098;;;;;;;;;;;;;;;;;;;;;
4282;Commune de GOUVETS;Travaux d'aménagement à proximité de la salle de convivialité;;122-01;4000;;266797;;;;;;;;;;;;;;;;;;;;;
4283;Commune de Goux-le-Dambelin;Aménagement l'ancien garage en salle des associations; 2 rue de l'Eglise 25 150 Goux-les-Dambelin;122-01;6000;;642724;;;;;;;;;;;;;;;;;;;;;
4284;Commune de GOUZANGREZ;Aménagement de voirie devant le 5, route de Commeny;;122-01;6220;;1661;;;;;;;;;;;;;;;;;;;;;
4285;Commune de GOVEN;Restructuration restauration municipale (travaux cuisine + salle de restauration);21 rue de la Mairie - 35 580 GOVEN;122-01;25000;;332206;;;;;;;;;;;;;;;;;;;;;
4286;Commune de Goyave,;Travaux d'intérêt local;;122-01;14285;;610615;;;;;;;;;;;;;;;;;;;;;
4287;Commune de Grandcamp;Aménagement du centre bourg;Commune de Grandcamp;122-01;9000;;267233;;;;;;;;;;;;;;;;;;;;;
4288;Commune de GRANDCHAMP-des-FONTAINES;Création d'une piste d'athlétisme;;122-01;15000;;Groupe SRC;;;;;;;;;;;;;SRC;;;;;;;;
4289;Commune de Grand-Charmont;rénovation de la maison de la Solidarité;21 r Pierre Curie 25 200 Grand Charmont;122-01;7000;;642724;;;;;;;;;;;;;;;;;;;;;
4290;Commune de Grand-Charmont;aménagement d'une nouvelle mairie;21 r Pierre Curie 25 200 Grand Charmont;122-01;9000;;642724;;;;;;;;;;;;;;;;;;;;;
4292;Commune de GRAND'COMBE-CHÂTELEU;Aménagement d'une maison intergénérationnelle dans la maison communale;;122-01;15000;;605991;;;;;;;;;;;;;;;;;;;;;
4293;Commune de Grand-Quevilly;Réfection de trottoirs- facilitation accès personnes à mobilité réduite;;122-01;25000;;642987;;;;;;;;;;;;;;;;;;;;;
4294;Commune de GRANDRIEU;Acquisition de matériels pour l'équipement de garages communaux;;122-01;2000;;266788;;;;;;;;;;;;;;;;;;;;;
4295;Commune de Grand-Rivière;Travaux d'intérêt local;HdV - 71 av du Général de Gaulle 97218;122-01;30000;;610634;;;;;;;;;;;;;;;;;;;;;
4296;Commune de GRANDRUPT;Aménagement de bourg;;122-01;2000;;856;;;;;;;;;;;;;;;;;;;;;
4297;Commune de GRAND-VABRE;Sanitaires de la salle des fêtes;Mairie - 12320 GRAND-VABRE;122-01;5000;;330546;;;;;;;;;;;;;;;;;;;;;
4298;Commune de GRANDVELLE et LE PERRENOT;Travaux d'aménagement de sécurité devant l'école-mairie;;122-01;2000;;608662;;;;;;;;;;;;;;;;;;;;;
4299;Commune de GRANGES LES BEAUMONT;Mise en place d'une vidéo surveillance;;122-01;15000;;1778;;;;;;;;;;;;;;;;;;;;;
4300;Commune de Granges sur lot;Réhabilitation d'un bâtiment communal en salle d'évolution ;1, place Papon Lagrave – 47260 GRANGES SUR LOT;122-01;10000;;Groupe SRC;;;;;;;;;;;;;SRC;;;;;;;;
4301;Commune de GRANGUE;Réhabilitation d'un bâtiment agricole en gîte communal;;122-01;5000;;259;;;;;;;;;;;;;;;;;;;;;
4302;Commune de Granzay-Gript;construction garderie périscolaire et restructuration du groupe scolaire;;122-01;7000;;345994;;;;;;;;;;;;;;;;;;;;;
4303;Commune de Grateloup Saint Gayrand;Travaux de consolidation de l'église;Mairie - Le Bourg - 47400 GRATELOUP SAINT GAYRAND;122-01;5000;;607287;;;;;;;;;;;;;;;;;;;;;
4304;Commune de GRATENTOUR;Construction d'un Centre de Loisirs;Mairie - 31150 GRATENTOUR ;122-01;35000;;1689;;;;;;;;;;;;;;;;;;;;;
4305;Commune de GRAVERON SEMERVILLE;Travaux mairie;27110 Graveron Sémerville;122-01;2000;;606040;;;;;;;;;;;;;;;;;;;;;
4306;Commune de Grayssas;Aménagement salle des associations ;Mairie - Le Bourg - 47270 Grayssas;122-01;22000;;607283;;;;;;;;;;;;;;;;;;;;;
4307;Commune de Gréasque;Travaux d'intérêt local;13850 Gréasque;122-01;10000;;605518;;;;;;;;;;;;;;;;;;;;;
4308;Commune de GREFFEIL;Rénovation de la station d'épuration;;122-01;10000;;Groupe SRC;;;;;;;;;;;;;SRC;;;;;;;;
4309;Commune de Grenay;Achat matériel école;Place Pasteur - 62160 Grenay;122-01;4000;;608158;;;;;;;;;;;;;;;;;;;;;
4310;Commune de Grenoble;Aménagement de l'espace public du site Adrien Ricard (PGUS1);Hôtel de Ville 11 boulevard Jean Pain BP 1066 38021 Grenoble Cedex 1;122-01;50000;;1116;;;;;;;;;;;;;;;;;;;;;
